Airline,ORG,DES,Aircraft_Family,Aircraft_Type,June_2019_Flights,June_2019_Seats,June_2019_ASMs,June_2018_Flights,June_2018_Seats,June_2018_ASMs,June_Diff_Flights,June_Diff_Seats,June_Diff_ASMs,June_Rate_Flights,June_Rate_Seats,June_Rate_ASMs
AC,YYC,YKA,DeHavilland Dash-8,DHC-8-300,0,0,0,87,"4,350","1,226,700",-87,"-4,350","-1,226,700",-100.00%,-100.00%,-100.00%
WS,YYZ,YQY,B737 Misc,B737-Max 8 Passenger,8,"1,392","1,354,416",0,0,0,8,"1,392","1,354,416",,,
AC,YAM,YYZ,DeHavilland Dash-8,DHC-8-400,0,0,0,88,"6,864","2,107,248",-88,"-6,864","-2,107,248",-100.00%,-100.00%,-100.00%
AC,YEG,YYC,DeHavilland Dash-8,DHC-8-300,31,"1,550","237,150",120,"6,000","918,000",-89,"-4,450","-680,850",-74.20%,-74.20%,-74.20%
AC,YYC,YEG,DeHavilland Dash-8,DHC-8-300,31,"1,550","237,150",120,"6,000","918,000",-89,"-4,450","-680,850",-74.20%,-74.20%,-74.20%
AC,YYZ,YAM,DeHavilland Dash-8,DHC-8-400,0,0,0,89,"6,942","2,131,194",-89,"-6,942","-2,131,194",-100.00%,-100.00%,-100.00%
AC,YQB,YZV,DeHavilland Dash-8,DHC-8-100,0,0,0,90,"3,330","1,108,890",-90,"-3,330","-1,108,890",-100.00%,-100.00%,-100.00%
WS,YYG,YYZ,B737 Misc,B737-Max 8 Passenger,7,"1,218","1,007,286",0,0,0,7,"1,218","1,007,286",,,
AC,YZV,YQB,DeHavilland Dash-8,DHC-8-100,0,0,0,90,"3,330","1,108,890",-90,"-3,330","-1,108,890",-100.00%,-100.00%,-100.00%
AC,YOW,YUL,DeHavilland Dash-8,DHC-8-400,0,0,0,92,"7,176","674,544",-92,"-7,176","-674,544",-100.00%,-100.00%,-100.00%
AC,YQB,YYZ,E-Jet,E-175,0,0,0,92,"6,992","3,181,360",-92,"-6,992","-3,181,360",-100.00%,-100.00%,-100.00%
AC,YSB,YYZ,DeHavilland Dash-8,DHC-8-100,0,0,0,92,"3,404","718,244",-92,"-3,404","-718,244",-100.00%,-100.00%,-100.00%
AC,YYZ,YSB,DeHavilland Dash-8,DHC-8-100,0,0,0,92,"3,404","718,244",-92,"-3,404","-718,244",-100.00%,-100.00%,-100.00%
